"","Financial.Year","Geocode","Force.Name","Region","Sex","Ethnic.Group..self.defined.","Age.group","Reason.for.arrest..offence.group.","Arrests"
"1472","2018/19","E23000032","Kent","South East","Female","Black or Black British","18 - 20 years","2015/16 onwards - Sexual offences"," 1 "
"1473","2018/19","E23000032","Kent","South East","Female","Black or Black British","21 years and over","2015/16 onwards - Sexual offences"," 2 "
"1474","2018/19","E23000032","Kent","South East","Female","Black or Black British","Under 10 years","2015/16 onwards - Sexual offences"," - "
"1475","2018/19","E23000032","Kent","South East","Female","Black or Black British","Unknown","2015/16 onwards - Sexual offences"," - "
"1476","2018/19","E23000032","Kent","South East","Male","Black or Black British","10 - 17 years","2015/16 onwards - Sexual offences"," 2 "
"1477","2018/19","E23000032","Kent","South East","Male","Black or Black British","18 - 20 years","2015/16 onwards - Sexual offences"," 11 "
"1478","2018/19","E23000032","Kent","South East","Male","Black or Black British","21 years and over","2015/16 onwards - Sexual offences"," 49 "
"1479","2018/19","E23000032","Kent","South East","Male","Black or Black British","Under 10 years","2015/16 onwards - Sexual offences"," - "
"1480","2018/19","E23000032","Kent","South East","Male","Black or Black British","Unknown","2015/16 onwards - Sexual offences"," - "
"1481","2018/19","E23000003","Lancashire","North West","Female","Black or Black British","10 - 17 years","2015/16 onwards - Sexual offences"," - "
"1482","2018/19","E23000003","Lancashire","North West","Female","Black or Black British","18 - 20 years","2015/16 onwards - Sexual offences"," - "
"1483","2018/19","E23000003","Lancashire","North West","Female","Black or Black British","21 years and over","2015/16 onwards - Sexual offences"," - "
"1484","2018/19","E23000003","Lancashire","North West","Female","Black or Black British","Under 10 years","2015/16 onwards - Sexual offences"," - "
"1485","2018/19","E23000003","Lancashire","North West","Female","Black or Black British","Unknown","2015/16 onwards - Sexual offences"," - "
"1486","2018/19","E23000003","Lancashire","North West","Male","Black or Black British","10 - 17 years","2015/16 onwards - Sexual offences"," - "
"1487","2018/19","E23000003","Lancashire","North West","Male","Black or Black British","18 - 20 years","2015/16 onwards - Sexual offences"," - "
"1488","2018/19","E23000003","Lancashire","North West","Male","Black or Black British","21 years and over","2015/16 onwards - Sexual offences"," 4 "
"1489","2018/19","E23000003","Lancashire","North West","Male","Black or Black British","Under 10 years","2015/16 onwards - Sexual offences"," - "
"1490","2018/19","E23000003","Lancashire","North West","Male","Black or Black British","Unknown","2015/16 onwards - Sexual offences"," - "
"1491","2018/19","E23000021","Leicestershire","East Midlands","Female","Black or Black British","10 - 17 years","2015/16 onwards - Sexual offences"," - "
"1492","2018/19","E23000021","Leicestershire","East Midlands","Female","Black or Black British","18 - 20 years","2015/16 onwards - Sexual offences"," - "
"1493","2018/19","E23000021","Leicestershire","East Midlands","Female","Black or Black British","21 years and over","2015/16 onwards - Sexual offences"," - "
"1494","2018/19","E23000021","Leicestershire","East Midlands","Female","Black or Black British","Under 10 years","2015/16 onwards - Sexual offences"," - "
"1495","2018/19","E23000021","Leicestershire","East Midlands","Female","Black or Black British","Unknown","2015/16 onwards - Sexual offences"," - "
"1496","2018/19","E23000021","Leicestershire","East Midlands","Male","Black or Black British","10 - 17 years","2015/16 onwards - Sexual offences"," 4 "
"1497","2018/19","E23000021","Leicestershire","East Midlands","Male","Black or Black British","18 - 20 years","2015/16 onwards - Sexual offences"," 5 "
"1498","2018/19","E23000021","Leicestershire","East Midlands","Male","Black or Black British","21 years and over","2015/16 onwards - Sexual offences"," 40 "
"1499","2018/19","E23000021","Leicestershire","East Midlands","Male","Black or Black British","Under 10 years","2015/16 onwards - Sexual offences"," - "
"1500","2018/19","E23000021","Leicestershire","East Midlands","Male","Black or Black British","Unknown","2015/16 onwards - Sexual offences"," - "
"1501","2018/19","E23000020","Lincolnshire","East Midlands","Female","Black or Black British","10 - 17 years","2015/16 onwards - Sexual offences"," - "
"1502","2018/19","E23000020","Lincolnshire","East Midlands","Female","Black or Black British","18 - 20 years","2015/16 onwards - Sexual offences"," - "
"1503","2018/19","E23000020","Lincolnshire","East Midlands","Female","Black or Black British","21 years and over","2015/16 onwards - Sexual offences"," - "
"1504","2018/19","E23000020","Lincolnshire","East Midlands","Female","Black or Black British","Under 10 years","2015/16 onwards - Sexual offences"," - "
"1505","2018/19","E23000020","Lincolnshire","East Midlands","Female","Black or Black British","Unknown","2015/16 onwards - Sexual offences"," - "
